lat,lon,risk,row,col
1122343.3428608703,656729.469215034,1.0,1,1979
1122343.3428608703,656739.469215034,1.0,1,1980
1122343.3428608703,656749.469215034,1.0,1,1981
1122293.3428608703,644029.469215034,1.0,6,709
1122293.3428608703,644039.469215034,1.0,6,710
1122293.3428608703,644049.469215034,1.0,6,711
1122293.3428608703,644079.469215034,1.0,6,714
1122293.3428608703,644089.469215034,1.0,6,715
1122293.3428608703,644099.469215034,1.0,6,716
1122293.3428608703,644109.469215034,1.0,6,717
1122293.3428608703,644119.469215034,1.0,6,718
1122293.3428608703,644129.469215034,1.0,6,719
1122283.3428608703,643999.469215034,1.0,7,706
1122283.3428608703,644029.469215034,1.0,7,709
1122283.3428608703,644039.469215034,1.0,7,710
1122283.3428608703,644049.469215034,1.0,7,711
1122273.3428608703,643999.469215034,1.0,8,706
1122273.3428608703,644009.469215034,1.0,8,707
1122273.3428608703,644019.469215034,1.0,8,708
1122273.3428608703,644029.469215034,1.0,8,709
1122273.3428608703,644039.469215034,1.0,8,710
1122273.3428608703,644049.469215034,1.0,8,711
1122263.3428608703,643999.469215034,1.0,9,706
1122263.3428608703,644009.469215034,1.0,9,707
1122263.3428608703,644019.469215034,1.0,9,708
1122263.3428608703,644029.469215034,1.0,9,709
1122263.3428608703,644039.469215034,1.0,9,710
1122263.3428608703,644049.469215034,1.0,9,711
1122103.3428608703,643589.469215034,1.0,25,665
1122073.3428608703,643529.469215034,1.0,28,659
1122063.3428608703,646009.469215034,1.0,29,907
1122043.3428608703,643499.469215034,1.0,31,656
1122033.3428608703,643489.469215034,1.0,32,655
1122023.3428608703,643469.469215034,1.0,33,653
1122023.3428608703,643479.469215034,1.0,33,654
1122023.3428608703,643489.469215034,1.0,33,655
1121923.3428608703,658439.469215034,1.0,43,2150
1121883.3428608703,640239.469215034,1.0,47,330
1121883.3428608703,640249.469215034,1.0,47,331
1121873.3428608703,640249.469215034,1.0,48,331
1121833.3428608703,656899.469215034,1.0,52,1996
1121833.3428608703,657179.469215034,1.0,52,2024
1121803.3428608703,657119.469215034,1.0,55,2018
1121773.3428608703,658859.469215034,1.0,58,2192
1121763.3428608703,640449.469215034,1.0,59,351
1121763.3428608703,640459.469215034,1.0,59,352
1121723.3428608703,645659.469215034,1.0,63,872
1121703.3428608703,640439.469215034,1.0,65,350
1121703.3428608703,640479.469215034,1.0,65,354
1121703.3428608703,646339.469215034,1.0,65,940
1121673.3428608703,640479.469215034,1.0,68,354
1121663.3428608703,640469.469215034,1.0,69,353
1121663.3428608703,640479.469215034,1.0,69,354
1121663.3428608703,640489.469215034,1.0,69,355
1121653.3428608703,640459.469215034,1.0,70,352
1121653.3428608703,640469.469215034,1.0,70,353
1121653.3428608703,640479.469215034,1.0,70,354
1121653.3428608703,640489.469215034,1.0,70,355
1121643.3428608703,640469.469215034,1.0,71,353
1121643.3428608703,640479.469215034,1.0,71,354
1121633.3428608703,640469.469215034,1.0,72,353
1121633.3428608703,640479.469215034,1.0,72,354
1121623.3428608703,640479.469215034,1.0,73,354
1121623.3428608703,658779.469215034,1.0,73,2184
1121613.3428608703,640479.469215034,1.0,74,354
1121613.3428608703,658779.469215034,1.0,74,2184
1121603.3428608703,658789.469215034,1.0,75,2185
1121433.3428608703,641019.469215034,1.0,92,408
1121343.3428608703,641109.469215034,1.0,101,417
1121343.3428608703,641119.469215034,1.0,101,418
1121343.3428608703,641129.469215034,1.0,101,419
1121333.3428608703,641109.469215034,1.0,102,417
1121333.3428608703,641119.469215034,1.0,102,418
1121333.3428608703,641129.469215034,1.0,102,419
1121323.3428608703,641119.469215034,1.0,103,418
1121323.3428608703,641129.469215034,1.0,103,419
1121313.3428608703,641139.469215034,1.0,104,420
1121313.3428608703,641149.469215034,1.0,104,421
1121313.3428608703,641159.469215034,1.0,104,422
1121303.3428608703,641139.469215034,1.0,105,420
1121303.3428608703,641149.469215034,1.0,105,421
1121303.3428608703,641159.469215034,1.0,105,422
1121293.3428608703,641149.469215034,1.0,106,421
1121293.3428608703,641159.469215034,1.0,106,422
1121243.3428608703,658739.469215034,1.0,111,2180
1121233.3428608703,642559.469215034,1.0,112,562
1121233.3428608703,658739.469215034,1.0,112,2180
1121203.3428608703,642529.469215034,1.0,115,559
1121143.3428608703,642439.469215034,1.0,121,550
1121073.3428608703,642309.469215034,1.0,128,537
1121073.3428608703,642319.469215034,1.0,128,538
1121063.3428608703,642299.469215034,1.0,129,536
1121063.3428608703,642309.469215034,1.0,129,537
1121043.3428608703,641479.469215034,1.0,131,454
1121033.3428608703,641469.469215034,1.0,132,453
1121033.3428608703,641479.469215034,1.0,132,454
